Noun,Meaning,Nominative,Accusative,Dative,Genitive,Gender,N1E,N2E,N1,N2,A1E,A2E,A1,A2,D1E,D2E,D1,D2,G1E,G2E,G1,G2,Rule,Conjugator
Heft,Notebook,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Lineal,Ruler,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Fahrrad,Bicycle,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Auto,Car,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Motorrad,Motorcycle,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Schiff,Ship,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Flugzeug,Airplane,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Wasser,Water,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Salz,Salt,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Kohlenmonoxid,Carbon monoxide,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Ammoniak,Ammonia,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Methan,Methane,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Atoll,Atoll,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Kloster,Monastery,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Gebirge,Mountain range,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Tal,Valley,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Haus,House,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Krankenhaus,Hospital,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Rathaus,Town hall,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Hochhaus,Skyscraper,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Museum,Museum,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Pferd,Horse,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Schwein,Pig,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Puzzle,Puzzle,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Lego,Lego,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Spielzeug,Toy,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Plüschtier,Stuffed animal,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Wohnzimmer,Living room,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Schlafzimmer,Bedroom,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Badezimmer,Bathroom,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Esszimmer,Dining room,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Arbeitszimmer,Study/Home office,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Kinderzimmer,Children's room,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Antibiotikum,Antibiotic,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Schmerzmittel,Painkiller,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Nasenspray,Nasal spray,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Klavier,Piano,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Schlagzeug,Drums,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Saxophon,Saxophone,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Mikroskop,Microscope,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Teleskop,Telescope,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Thermometer,Thermometer,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Reagenzglas,Test tube,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Becherglas,Beaker,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Brot,Bread,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Brötchen,Roll,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Croissant,Croissant,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Plätzchen,Cookie,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Würstchen,Sausage,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Grillgemüse,Grilled vegetables,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Fischfilet,Grilled fish fillet,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Hähnchen,Grilled chicken,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Kartoffelpüree,Mashed potatoes,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Rindfleisch,Beef,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Schnitzel,Schnitzel,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Baby,Baby,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Messer,Knives,das,den,den,den,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Fenster,Windows,das,den,den,den,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Kissen,Pillows,das,den,den,den,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Bleistift,Pencil,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Radiergummi,Eraser,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Kugelschreiber,Ballpoint Pen,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Taschenrechner,Calculator,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Klebstoff,Glue,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Hammer,Hammer,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Schraubenzieher,Screwdriver,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Bohrer,Drill,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Zollstock,Tape measure,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Meißel,Chisel,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Lastwagen,Truck,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
