German,English,Image
schnell,quickly,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_01.png
langsam,slowly,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_02.png
leise,quietly,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_03.png
laut,loudly,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_04.png
häufig,frequently,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_05.png
selten,rarely,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_06.png
gerne,gladly,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_07.png
ungern,reluctantly,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_08.png
oben,upstairs,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_09.png
unten,downstairs,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_10.png
draußen,outside,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_11.png
drinnen,inside,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_12.png
früh,early,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_13.png
spät,late,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_14.png
hier,here,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_15.png
dort,there,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_16.png
vorne,in front,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_17.png
hinten,behind,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_18.png
bald,soon,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_19.png
gerade,just,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_20.png
immer,always,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_21.png
nie,never,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_22.png
seltsam,strangely,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_23.png
normalerweise,usually,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_24.png
sofort,immediately,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_25.png
später,later,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_26.png
manchmal,sometimes,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_27.png
oft,often,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_28.png
endlich,finally,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_29.png
vielleicht,maybe,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_30.png
tatsächlich,actually,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_31.png
vergeblich,in vain,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_32.png
hoffentlich,hopefully,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_33.png
überall,everywhere,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_34.png
nirgendwo,nowhere,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_35.png
plötzlich,suddenly,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_36.png
morgens,in the morning,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_37.png
abends,in the evening,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_38.png
nachts,at night,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_39.png
vorher,before,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_40.png
danach,after,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_41.png
heute,today,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_42.png
gestern,yesterday,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_43.png
morgen,tomorrow,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_44.png
bald darauf,shortly after,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_45.png
regelmäßig,regularly,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_46.png
gelegentlich,occasionally,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_47.png
direkt,directly,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_48.png
indirekt,indirectly,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_49.png
ausreichend,sufficiently,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_50.png
unzureichend,insufficiently,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_51.png
automatisch,automatically,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_52.png
manuell,manually,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_53.png
komplett,completely,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_54.png
teilweise,partially,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_55.png
bewusst,consciously,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_56.png
unbewusst,unconsciously,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_57.png
logischerweise,logically,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_58.png
unlogischerweise,illogically,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdverbCode_59.png