Konjunktion,English,Type,Articles,Image
und,and,and,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_01.png
sondern,rather,and,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_02.png
oder,or,conjunction,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_03.png
aber,but,conjunction,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_04.png
denn,then,conjunction,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_05.png
doch,certainly,conjunction,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_06.png
obwohl,although,conjunction,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_07.png
dann,than,dann,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_08.png
weil,because,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_09.png
damit,so that,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_10.png
wenn,if,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_11.png
bevor,before,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_12.png
falls,in case,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_13.png
seitdem,since,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_14.png
so dass,so that,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_15.png
soweit,so far as,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_16.png
was,what,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_17.png
wohin,where from,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_18.png
wieviel,how many,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_19.png
dass,that,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_20.png
als,as,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_21.png
als ob,as if,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_22.png
bis,until,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_23.png
indem,in that,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_24.png
sobald,as soon as,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_25.png
sooft,as often as,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_26.png
während,while,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_27.png
wie lange,how long,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_28.png
ob,whether,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_29.png
als wenn,as if,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_30.png
ehe,before ( time ),subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_31.png
nacchdem,after,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_32.png
solange,as long as,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_33.png
soviewl,as much as,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_34.png
warum,why,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_35.png
woher,where from,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_36.png
wie oft,how often,subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_37.png
weshalb,why (written formal),subordinating,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ConjunctionCode_38.png
der,that (masculine),article,der; den; dem; des/s,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ArticleCode_1.png
die,that (feminine),article,die; die; der; der,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ArticleCode_2.png
das,that (neuter),article,das; das; dem; des/s,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ArticleCode_3.png
die,that (plural),article,die; die; den; der,D:\workdrive backup\WorkStuff\Quatsch\individual cards\ArticleCode_4.png