Noun,Meaning,Nominative,Accusative,Dative,Genitive,Gender,N1E,N2E,N1,N2,A1E,A2E,A1,A2,D1E,D2E,D1,D2,G1E,G2E,G1,G2,Image
Eintopf,Stew,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_107.png
Reis,Rice,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_108.png
Heft,Notebook,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_109.png
Lineal,Ruler,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_110.png
Fahrrad,Bicycle,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_111.png
Auto,Car,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_112.png
Motorrad,Motorcycle,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_113.png
Schiff,Ship,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_114.png
Flugzeug,Airplane,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_115.png
Wasser,Water,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_116.png
Salz,Salt,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_117.png
Kohlenmonoxid,Carbon monoxide,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_118.png
Ammoniak,Ammonia,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_119.png
Methan,Methane,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_120.png
Atoll,Atoll,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_121.png
Kloster,Monastery,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_122.png
Gebirge,Mountain range,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_123.png
Tal,Valley,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_124.png
Haus,House,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_125.png
Krankenhaus,Hospital,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_126.png
Rathaus,Town hall,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_127.png
Hochhaus,Skyscraper,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_128.png
Museum,Museum,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_129.png
Pferd,Horse,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_130.png
Schwein,Pig,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_131.png
Puzzle,Puzzle,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_132.png
Lego,Lego,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_133.png
Spielzeug,Toy,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_134.png
Plüschtier,Stuffed animal,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_135.png
Wohnzimmer,Living room,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_136.png
Schlafzimmer,Bedroom,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_137.png
Badezimmer,Bathroom,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_138.png
Esszimmer,Dining room,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_139.png
Arbeitszimmer,Study/Home office,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_140.png
Kinderzimmer,Children's room,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_141.png
Antibiotikum,Antibiotic,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_142.png
Schmerzmittel,Painkiller,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_143.png
Nasenspray,Nasal spray,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_144.png
Klavier,Piano,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_145.png
Schlagzeug,Drums,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_146.png
Saxophon,Saxophone,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_147.png
Mikroskop,Microscope,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_148.png
Teleskop,Telescope,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_149.png
Thermometer,Thermometer,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_150.png
Reagenzglas,Test tube,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_151.png
Becherglas,Beaker,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_152.png
Brot,Bread,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_153.png
Brötchen,Roll,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_154.png
Croissant,Croissant,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_155.png
Plätzchen,Cookie,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_156.png
Würstchen,Sausage,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_157.png
Grillgemüse,Grilled vegetables,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_158.png
Fischfilet,Grilled fish fillet,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_159.png
Hähnchen,Grilled chicken,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_160.png
Kartoffelpüree,Mashed potatoes,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_161.png
Rindfleisch,Beef,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_162.png
Schnitzel,Schnitzel,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_163.png
Baby,Baby,das,das,dem,des/s,N,-,es,e,e,-,es,e,e,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_164.png
Messer,Knives,das,den,den,den,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_165.png
Fenster,Windows,das,den,den,den,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_166.png
Kissen,Pillows,das,den,den,den,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_167.png
Gürtel,Belts,der,den,den,den,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_168.png
Löffel,Spoons,der,den,den,den,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_169.png
Stiefel,Boots,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_170.png
Hosen,Pants,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_171.png
Socken,Socks,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_172.png
Handschuhe,Gloves,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_173.png
Hemden,Shirts,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_174.png
Kleider,Dresses,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_175.png
Röcke,Skirts,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_176.png
Schuhe,Shoes,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_177.png
Mützen,Caps,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_178.png
Uhren,Watches,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_179.png
Taschen,Bags,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_180.png
Brillen,Glasses,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_181.png
Ringe,Rings,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_182.png
Ketten,Necklaces,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_183.png
Ohrringe,Earrings,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_184.png
Flaschen,Bottles,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_185.png
Gläser,Glasses,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_186.png
Teller,Plates,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_187.png
Tassen,Cups,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_188.png
Gabeln,Forks,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_189.png
Schüsseln,Bowls,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_190.png
Stühle,Chairs,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_191.png
Tische,Tables,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_192.png
Regale,Shelves,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_193.png
Lampen,Lamps,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_194.png
Türen,Doors,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_195.png
,You Yours,Du,dich,dir,dein-,Y,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_01.png
,You Yours,Du,dich,dir,dein-,Y,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_02.png
,You Yours,Du,dich,dir,dein-,Y,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_03.png
,He him his,Er,ihn,ihm,sein-,M,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_04.png
,He him his,Er,ihn,ihm,sein-,M,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_05.png
,It it's (nueter),Es,es,ihm,sein-,N,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_06.png
,It it's (nueter),Es,es,ihm,sein-,N,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_07.png
,I Me Mine,Ich,mich,mir,mein-,I,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_08.png
,I Me Mine,Ich,mich,mir,mein-,I,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_09.png
,I Me Mine,Ich,mich,mir,mein-,I,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_10.png
,All of you(rs),Ihr,euch,euch,eur-,R,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_11.png
,All of you(rs),Ihr,euch,euch,eur-,R,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_12.png
,All of you(rs),Ihr,euch,euch,eur-,R,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_13.png
,she her her's,sie,sie,ihr,ihr-,F,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_14.png
,she her her's,sie,sie,ihr,ihr-,F,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_15.png
,You yours (formal) ,Sie,sie,ihnnen,ihr-,P,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_16.png
,You yours (formal) ,Sie,sie,ihnnen,ihr-,P,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_17.png
,They Them Theirs,sie,sie,ihnnen,ihr-,P,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_18.png
,They Them Theirs,sie,sie,ihnnen,ihr-,P,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_19.png
,We Us Our,Wir,uns,uns,unser-,W,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_20.png
,We Us Our,Wir,uns,uns,unser-,W,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_21.png
,We Us Our,Wir,uns,uns,unser-,W,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PronounCode_22.png