Preposition,Meaning,Cases,Image
ab,away,II;III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_01.png
an,on (side of),II;III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_02.png
auf,on; upon,II;III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_03.png
aufgrund,due to; on the basis of,IV,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_04.png
aus,from; out of,III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_05.png
ausser,except for,III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_06.png
bei,at; with; among,III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_07.png
durch,through,II,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_08.png
für,for,II,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_09.png
gegen,against,II,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_10.png
gegenüber,opposite; across from,III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_11.png
in,in,II;III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_12.png
jenseits,beyond,IV,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_13.png
mit,with,III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_14.png
nach,after; to,III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_15.png
neben,beside; next to,II;III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_16.png
ohne,without,II,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_17.png
statt,instead of,III;IV,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_18.png
trotz,despite; in spite of,III;IV,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_19.png
über,over; above; about,II;III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_20.png
um,at; around; about,II,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_21.png
unter,under; among,II;III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_22.png
von,from; of,III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_23.png
vor,in front of; before,II;III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_24.png
zu,to,III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_25.png
zwischen,between,II;III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_26.png
nieder,below,II;III,D:\workdrive backup\WorkStuff\Quatsch\individual cards\PrepositionCode_26.png