Adjective,Meaning,denotion,ein?,Image
üein,one,A,1st,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_001.png
kein,none,A,1st,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_002.png
schön,beautiful,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_003.png
hässlich,ugly,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_004.png
lustig,funny,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_005.png
traurig,sad,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_006.png
schnell,fast,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_007.png
langsam,slow,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_008.png
jung,young,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_009.png
alt,old,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_010.png
groß,big,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_011.png
klein,small,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_012.png
stark,strong,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_013.png
schwach,weak,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_014.png
klug,clever,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_015.png
dumm,stupid,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_016.png
laut,loud,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_017.png
leise,quiet,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_018.png
fröhlich,cheerful,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_019.png
böse,evil,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_020.png
freundlich,friendly,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_021.png
feindlich,hostile,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_022.png
gesund,healthy,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_023.png
krank,sick,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_024.png
sauber,clean,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_025.png
schmutzig,dirty,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_026.png
reich,rich,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_027.png
arm,poor,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_028.png
kreativ,creative,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_029.png
langweilig,boring,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_030.png
interessant,interesting,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_031.png
erfolgreich,successful,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_032.png
erfolglos,unsuccessful,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_033.png
warm,warm,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_034.png
düster,dark,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_035.png
humorvoll,humorous,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_036.png
melancholisch,melancholic,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_037.png
geschwind,speedy,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_038.png
gemächlich,leisurely,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_039.png
unerfahren,inexperienced,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_040.png
erfahren,experienced,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_041.png
riesig,huge,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_042.png
winzig,very small,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_043.png
mächtig,powerful,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_044.png
kraftlos,weak,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_045.png
intelligent,smart,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_046.png
einfältig,simple-minded,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_047.png
schrill,shrill,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_048.png
still,quiet,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_049.png
heiter,cheerful,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_050.png
grausam,cruel,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_051.png
nett,nice,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_052.png
feindselig,hostile,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_053.png
fit,fit,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_054.png
unwohl,unwell,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_055.png
reinlich,clean,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_056.png
unhygienisch,unhygienic,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_057.png
wohlhabend,wealthy,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_058.png
mittellos,poor,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_059.png
hübsch,pretty,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_060.png
missgestaltet,deformed,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_061.png
erfinderisch,inventive,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_062.png
öde,boring,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_063.png
faszinierend,fascinating,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_064.png
triumphierend,triumphant,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_065.png
vergeblich,in vain,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_066.png
heiß,hot,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_067.png
trist,bleak,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_068.png
unterhaltsam,entertaining,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_069.png
einsam,lonely,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_070.png
rasch,fast,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_071.png
träge,sluggish,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_072.png
frisch,fresh,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_073.png
reif,ripe,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_074.png
gewaltig,immense,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_075.png
zierlich,delicate,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_076.png
kraftvoll,powerful,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_077.png
zart,delicate,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_078.png
gebildet,educated,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_079.png
naiv,naive,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_080.png
dröhnend,deafening,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_081.png
gedämpft,muted,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_082.png
froh,happy,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_083.png
brutal,brutal,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_084.png
liebenswert,lovable,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_085.png
aggressiv,aggressive,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_086.png
vital,vital,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_087.png
leidend,suffering,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_088.png
ordentlich,orderly,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_089.png
verunreinigt,contaminated,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_090.png
vermögend,wealthy,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_091.png
bedürftig,needy,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_092.png
attraktiv,attractive,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_093.png
entstellt,disfigured,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_094.png
einfallsreich,imaginative,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_095.png
monoton,monotonous,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_096.png
spannend,exciting,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_097.png
siegreich,victorious,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_098.png
gescheitert,failed,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_099.png
gemütlich,cozy,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_100.png
bunt,colorful,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_101.png
albern,silly,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_102.png
bedrückend,oppressive,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_103.png
flink,quick,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_104.png
schleppend,sluggish,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_105.png
unbeschwert,carefree,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_106.png
weise,wise,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_107.png
monumental,monumental,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_108.png
mikroskopisch,microscopic,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_109.png
robust,robust,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_110.png
fragil,fragile,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_111.png
scharfsinnig,clever,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_112.png
töricht,foolish,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_113.png
ohrenbetäubend,deafening,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_114.png
flüsternd,whispering,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_115.png
glücklich,happy,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_116.png
gemein,mean,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_117.png
warmherzig,warm-hearted,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_118.png
ablehnend,rejecting,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_119.png
kräftig,strong,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_120.png
gepflegt,well-groomed,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_121.png
schlammig,muddy,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_122.png
hilfsbedürftig,needy,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_123.png
ansehnlich,good-looking,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_124.png
abstoßend,disgusting,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_125.png
innovativ,innovative,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_126.png
ansprechend,appealing,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_127.png
fehlgeschlagen,failed,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_128.png
angenehm,pleasant,B,,D:\workdrive backup\WorkStuff\Quatsch\individual cards\AdjectiveCode_129.png